City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hithadhoo,MV,82.62,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Can Tho,VN,78.78,scattered clouds,10.0333,105.7833,Kim Lan Hotel Can Tho
7,Karaton,ID,81.95,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
10,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Tshikapa,CD,76.21,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
18,San Patricio,US,91.49,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
20,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
26,Lompoc,US,81.09,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
28,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
32,Jaguarari,BR,77.49,broken clouds,-10.2639,-40.1958,Hotel Quintal De Casa
33,Kefamenanu,ID,78.71,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
39,Hilo,US,82.13,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
41,Panaba,MX,84.81,overcast clouds,21.2833,-88.2667,Posada rosario
42,Garissa,KE,76.23,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
43,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
44,Guerrero Negro,MX,76.78,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
46,Jacksonville,US,76.03,few clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
48,Bandarbeyla,SO,78.84,overcast clouds,9.4942,50.8122,JABIR HOTEL
49,Butaritari,KI,81.68,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
54,Horana,LK,75.7,overcast clouds,6.7166,80.0619,Pinidiya Holiday Resort
57,Marsh Harbour,BS,82.78,few clouds,26.5412,-77.0636,Abaco Beach Resort
66,Victoria,HK,82.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
73,Honiara,SB,84.6,overcast clouds,-9.4333,159.95,Heritage Park Hotel
74,Bosaso,SO,84.22,broken clouds,11.2842,49.1816,Red Sea Hotel
77,Maragogi,BR,76.46,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
79,Samarai,PG,78.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
80,Isangel,VU,80.71,few clouds,-19.55,169.2667,Tanna Lodge
82,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
83,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
84,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
86,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
92,Sao Goncalo Do Amarante,BR,81.12,clear sky,-3.6072,-38.9683,Pousada bem Estar
94,Mitsamiouli,KM,75.6,scattered clouds,-11.3847,43.2844,Foyer ADM
99,Abu Kamal,SY,75.16,clear sky,34.4506,40.9171,محطة التلفاز
113,Atuona,PF,78.44,scattered clouds,-9.8,-139.0333,Villa Enata
115,Juigalpa,NI,76.91,light rain,12.1063,-85.3645,Ethos Inn
116,Dingle,PH,77.4,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
117,Bubaque,GW,82.54,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
119,Shimoda,JP,78.1,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
123,Lazaro Cardenas,MX,83.03,broken clouds,17.9583,-102.2,quinta antigua
127,Harper,LR,77.86,light rain,4.375,-7.7169,Screensaver
130,Bloomingdale,US,83.05,clear sky,27.8936,-82.2404,Travel Club for Free
