City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Kinna,57.5073,12.6946,55.35,92,85,8.3,SE,overcast clouds,2021-10-10 23:19:58
1,Cape Town,-33.9258,18.4232,63.12,85,97,5.35,ZA,overcast clouds,2021-10-10 23:13:50
2,Carnarvon,-24.8667,113.6333,66.43,68,0,21.25,AU,clear sky,2021-10-10 23:12:02
3,Rikitea,-23.1203,-134.9692,74.8,80,98,18.25,PF,overcast clouds,2021-10-10 23:10:31
4,Hithadhoo,-0.6,73.0833,82.62,68,99,14.43,MV,overcast clouds,2021-10-10 23:14:06
5,Bambous Virieux,-20.3428,57.7575,71.22,92,97,8.43,MU,moderate rain,2021-10-10 23:13:53
6,Can Tho,10.0333,105.7833,78.78,89,40,2.3,VN,scattered clouds,2021-10-10 23:19:59
7,Karaton,-6.3424,106.1045,81.95,88,72,0.96,ID,broken clouds,2021-10-10 23:19:59
8,Mar Del Plata,-38.0023,-57.5575,58.08,58,0,8.99,AR,clear sky,2021-10-10 23:14:04
9,Goderich,43.7501,-81.7165,66.52,82,99,13.8,CA,overcast clouds,2021-10-10 23:16:53
10,Kapaa,22.0752,-159.319,84.18,71,1,5.99,US,light rain,2021-10-10 23:13:43
11,Dunedin,-45.8742,170.5036,58.8,70,100,3.0,NZ,overcast clouds,2021-10-10 23:11:12
12,Port Elizabeth,-33.918,25.5701,56.82,74,44,12.8,ZA,scattered clouds,2021-10-10 23:13:55
13,Tshikapa,-6.4167,20.8,76.21,68,72,3.53,CD,broken clouds,2021-10-10 23:20:00
14,Yellowknife,62.456,-114.3525,36.41,100,100,8.01,CA,light rain,2021-10-10 23:13:51
15,Ponta Do Sol,32.6667,-17.1,72.23,69,17,4.45,PT,few clouds,2021-10-10 23:11:40
16,Saint-Pierre,-21.3393,55.4781,73.04,74,0,5.75,RE,clear sky,2021-10-10 23:14:39
17,Airai,-8.9266,125.4092,69.85,52,97,1.97,TL,overcast clouds,2021-10-10 23:14:36
18,San Patricio,28.017,-97.5169,91.49,64,46,20.27,US,scattered clouds,2021-10-10 23:14:12
19,Saint-Philippe,-21.3585,55.7679,72.95,89,6,6.22,RE,clear sky,2021-10-10 23:14:05
20,Avarua,-21.2078,-159.775,77.05,73,100,10.36,CK,overcast clouds,2021-10-10 23:14:09
21,East London,-33.0153,27.9116,59.68,68,14,18.19,ZA,few clouds,2021-10-10 23:13:14
22,Port Alfred,-33.5906,26.891,59.22,72,22,22.21,ZA,few clouds,2021-10-10 23:10:34
23,Bluff,-46.6,168.3333,47.8,90,100,8.1,NZ,light rain,2021-10-10 23:13:43
24,Izmit,40.7669,29.9169,63.27,94,75,0.0,TR,light rain,2021-10-10 23:20:02
25,Bara,10.3744,10.7288,76.35,76,95,7.47,NG,overcast clouds,2021-10-10 23:20:02
26,Lompoc,34.6391,-120.4579,81.09,62,1,11.5,US,clear sky,2021-10-10 23:12:09
27,New Norfolk,-42.7826,147.0587,51.66,52,83,1.99,AU,broken clouds,2021-10-10 23:13:54
28,Praia,14.9215,-23.5087,79.34,78,20,16.11,CV,few clouds,2021-10-10 23:12:18
29,Torbay,47.6666,-52.7314,43.57,82,26,4.0,CA,scattered clouds,2021-10-10 23:14:33
30,Shiyan,32.6475,110.7781,51.57,93,100,2.04,CN,light rain,2021-10-10 23:15:56
